checkpoint_path,max_samples,accuracy,f1_macro,precision_macro,recall_macro,f1_class_0_not_biased,f1_class_1_biased,precision_class_0_not_biased,precision_class_1_biased,recall_class_0_not_biased,recall_class_1_biased,invalid_percent,total_samples,valid_samples
./aya_saved_models//aya-expanse-8b_bl_seed12,,0.736235595390525,0.5304956343091937,0.6533317505539729,0.5481853301057797,0.8412942989214176,0.2196969696969697,0.7489711934156379,0.5576923076923077,0.9595782073813708,0.13679245283018868,0.1278772378516624,782,781
./aya_saved_models//aya-expanse-8b_bl_seed42,,0.7612323491655969,0.6544811995650432,0.6930290000914829,0.6412670516361202,0.8465346534653465,0.4624277456647399,0.7978227060653188,0.5882352941176471,0.9015817223198594,0.38095238095238093,0.3836317135549872,782,779
./aya_saved_models//aya-expanse-8b_bl_seed45,,0.6427656850192062,0.610745196816635,0.6181084313334662,0.6478049388875031,0.7223880597014926,0.4991023339317774,0.8344827586206897,0.40173410404624277,0.6368421052631579,0.6587677725118484,0.1278772378516624,782,781
./aya_saved_models//aya-expanse-8b_nm_seed12,,0.7471116816431322,0.70577115171873,0.697074797591264,0.7282849943261465,0.8160597572362278,0.5954825462012321,0.8687872763419483,0.5253623188405797,0.7693661971830986,0.6872037914691943,0.3836317135549872,782,779
./aya_saved_models//aya-expanse-8b_nm_seed42,,0.6432225063938619,0.6278369208672854,0.6553373862973092,0.6960112545514731,0.7035069075451648,0.5521669341894061,0.8921832884097035,0.41849148418491483,0.5807017543859649,0.8113207547169812,0.0,782,782
./aya_saved_models//aya-expanse-8b_nm_seed45,,0.7342747111681643,0.7043057778951365,0.69993470187324,0.7459954807933719,0.7984420642648491,0.6101694915254238,0.8951965065502183,0.5046728971962616,0.7205623901581723,0.7714285714285715,0.3836317135549872,782,779
./aya_saved_models//aya-expanse-8b_os_seed12,,0.7352941176470589,0.46664074675699097,0.701651455888744,0.5191989407480967,0.8451757666417352,0.0881057268722467,0.7366362451108214,0.6666666666666666,0.9912280701754386,0.04716981132075472,0.0,782,782
./aya_saved_models//aya-expanse-8b_os_seed42,,0.7625160462130937,0.5794043397685651,0.7402687215965225,0.581658692185008,0.8569218870843001,0.3018867924528302,0.7662517289073306,0.7142857142857143,0.9719298245614035,0.19138755980861244,0.3836317135549872,782,779
./aya_saved_models//aya-expanse-8b_os_seed45,,0.7583979328165374,0.6498118868175604,0.6871674491392801,0.6371466431095406,0.8448132780082988,0.45481049562682213,0.7965571205007824,0.5777777777777777,0.8992932862190812,0.375,1.0230179028132993,782,774
./aya_saved_models//aya-expanse-8b_us_seed12,,0.7717948717948718,0.6694631990934283,0.710997442455243,0.6543859649122807,0.8533772652388797,0.48554913294797686,0.8043478260869565,0.6176470588235294,0.9087719298245615,0.4,0.2557544757033248,782,780
./aya_saved_models//aya-expanse-8b_us_seed42,,0.7570332480818415,0.5772058823529411,0.7232456140350878,0.5800314465408805,0.8529411764705882,0.3014705882352941,0.7631578947368421,0.6833333333333333,0.9666666666666667,0.19339622641509435,0.0,782,782
./aya_saved_models//aya-expanse-8b_us_seed45,,0.6314432989690721,0.6190436955864986,0.6570254592330003,0.6979618093174431,0.6877729257641921,0.550314465408805,0.9051724137931034,0.4088785046728972,0.5545774647887324,0.8413461538461539,0.7672634271099744,782,776
