checkpoint_path,max_samples,accuracy,f1_macro,precision_macro,recall_macro,f1_class_0_not_biased,f1_class_1_biased,precision_class_0_not_biased,precision_class_1_biased,recall_class_0_not_biased,recall_class_1_biased,invalid_percent,total_samples,valid_samples
./aya_saved_models//aya-expanse-8b_bl_seed12,,0.7476808905380334,0.6193028376750177,0.6612637362637362,0.6093323163160322,0.8403755868544601,0.39823008849557523,0.7868131868131868,0.5357142857142857,0.9017632241813602,0.31690140845070425,31.074168797953966,782,539
./aya_saved_models//aya-expanse-8b_bl,,0.7861915367483296,0.6912320916905444,0.7389937106918238,0.6733594024164035,0.8624641833810889,0.52,0.8113207547169812,0.6666666666666666,0.9204892966360856,0.4262295081967213,42.58312020460358,782,449
./aya_saved_models//aya-expanse-8b_bl_seed45,,0.5580952380952381,0.5512159174649963,0.6280952086170608,0.6595535507749248,0.6067796610169491,0.4956521739130435,0.9086294416243654,0.3475609756097561,0.455470737913486,0.8636363636363636,32.864450127877234,782,525
./aya_saved_models//aya-expanse-8b_nm_seed12,,0.7529239766081871,0.6973982152159515,0.6880635508130881,0.7161125753650894,0.827021494370522,0.5677749360613811,0.8669527896995708,0.5091743119266054,0.7906066536203522,0.6416184971098265,12.531969309462914,782,684
./aya_saved_models//aya-expanse-8b_nm,,0.5927903871829105,0.5827831502433589,0.6343656197379017,0.6682248987149169,0.6473988439306358,0.5181674565560821,0.89171974522293,0.37701149425287356,0.5081669691470054,0.8282828282828283,4.219948849104859,782,749
./aya_saved_models//aya-expanse-8b_nm_seed45,,0.77947932618683,0.7310912834591627,0.7207761963562315,0.7491870018093794,0.8451612903225807,0.6170212765957447,0.8811659192825112,0.5603864734299517,0.8119834710743802,0.6863905325443787,16.496163682864452,782,653
./aya_saved_models//aya-expanse-8b_os_seed12,,0.708029197080292,0.49483775811209435,0.7953878406708594,0.543303214702809,0.8230088495575221,0.16666666666666666,0.7018867924528301,0.8888888888888888,0.9946524064171123,0.09195402298850575,64.9616368286445,782,274
./aya_saved_models//aya-expanse-8b_os,,0.761570827489481,0.565443411919922,0.7534363068379035,0.5732332350404205,0.8573825503355704,0.27350427350427353,0.7626865671641792,0.7441860465116279,0.9789272030651341,0.16753926701570682,8.823529411764707,782,713
./aya_saved_models//aya-expanse-8b_os_seed45,,0.772189349112426,0.6436503046484562,0.7181266590822906,0.6288530465949821,0.8576709796672828,0.42962962962962964,0.7918088737201365,0.6444444444444445,0.9354838709677419,0.32222222222222224,56.77749360613811,782,338
./aya_saved_models//aya-expanse-8b_us_seed12,,0.7978290366350068,0.646727468674098,0.78955640552185,0.6280748663101605,0.8777686628383922,0.41568627450980394,0.7997010463378177,0.7794117647058824,0.9727272727272728,0.28342245989304815,5.754475703324808,782,737
./aya_saved_models//aya-expanse-8b_us,,0.7568988173455979,0.5103488093043639,0.7866281215401649,0.5416674117920564,0.8578016910069177,0.16289592760180996,0.7550744248985115,0.8181818181818182,0.9928825622775801,0.09045226130653267,2.6854219948849107,782,761
./aya_saved_models//aya-expanse-8b_us_seed45,,0.7369942196531792,0.7043318214684808,0.70127160483227,0.7610789980732178,0.8026030368763557,0.6060606060606061,0.9181141439205955,0.4844290657439446,0.7129094412331407,0.8092485549132948,11.508951406649617,782,692
