prompt,checkpoint_path,max_samples,accuracy,f1_macro,precision_macro,recall_macro,f1_class_0_not_biased,f1_class_1_biased,precision_class_0_not_biased,precision_class_1_biased,recall_class_0_not_biased,recall_class_1_biased,invalid_percent,total_samples,valid_samples
same,./aya_saved_models//aya-expanse-8b_bl_seed42,,0.7612323491655969,0.6544811995650432,0.6930290000914829,0.6412670516361202,0.8465346534653465,0.4624277456647399,0.7978227060653188,0.5882352941176471,0.9015817223198594,0.38095238095238093,0.3836317135549872,782,779
same,./aya_saved_models//aya-expanse-8b_nm_seed42,,0.6432225063938619,0.6278369208672854,0.6553373862973092,0.6960112545514731,0.7035069075451648,0.5521669341894061,0.8921832884097035,0.41849148418491483,0.5807017543859649,0.8113207547169812,0.0,782,782
same,./aya_saved_models//aya-expanse-8b_os_seed42,,0.7625160462130937,0.5794043397685651,0.7402687215965225,0.581658692185008,0.8569218870843001,0.3018867924528302,0.7662517289073306,0.7142857142857143,0.9719298245614035,0.19138755980861244,0.3836317135549872,782,779
same,./aya_saved_models//aya-expanse-8b_us_seed42,,0.7570332480818415,0.5772058823529411,0.7232456140350878,0.5800314465408805,0.8529411764705882,0.3014705882352941,0.7631578947368421,0.6833333333333333,0.9666666666666667,0.19339622641509435,0.0,782,782
CoT,./aya_saved_models//aya-expanse-8b_bl_seed42,,0.7606177606177607,0.619678947368421,0.7005556413026701,0.6094581845137812,0.8512,0.3881578947368421,0.7800586510263929,0.6210526315789474,0.9366197183098591,0.2822966507177033,0.639386189258312,782,777
CoT,./aya_saved_models//aya-expanse-8b_nm_seed42,,0.6828644501278772,0.6522574861036399,0.654679087371395,0.6920969877523999,0.7554240631163708,0.5490909090909091,0.8626126126126126,0.4467455621301775,0.6719298245614035,0.7122641509433962,0.0,782,782
CoT,./aya_saved_models//aya-expanse-8b_os_seed42,,0.7599486521181001,0.5696730149445965,0.7374748703840863,0.5753588516746412,0.8558211256746338,0.2835249042145594,0.7634112792297112,0.7115384615384616,0.9736842105263158,0.17703349282296652,0.3836317135549872,782,779
CoT,./aya_saved_models//aya-expanse-8b_us_seed42,,0.7442455242966752,0.5269550909794812,0.6996630727762803,0.5490400529625952,0.8475609756097561,0.20634920634920634,0.7493261455525606,0.65,0.9754385964912281,0.12264150943396226,0.0,782,782
